StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3_1,QID3_2,QID3_3,QID4_1,QID4_2,QID4_3,QID5_1,QID5_2,QID5_3,QID6_1,QID6_2,QID6_3,QID7_1,QID7_2,QID7_3,QID8_1,QID8_2,QID8_3,QID9,QID10,QID11_1,QID11_2,QID11_3,QID12_1,QID12_2,QID12_3,QID13_1,QID13_2,QID13_3,QID14_1,QID14_2,QID14_3,QID15_1,QID15_2,QID15_3,QID16_1,QID16_2,QID16_3,QID17_1,QID17_2,QID17_3,QID18_1,QID18_2,QID18_3,QID19_1,QID19_2,QID19_3,QID20_1,QID20_2,QID20_3,QID21,QID22,QID23_1,QID23_2,QID23_3,QID24_1,QID24_2,QID24_3,QID25_1,QID25_2,QID25_3,QID26_1,QID26_2,QID26_3,QID27_1,QID27_2,QID27_3,QID28_1,QID28_2,QID28_3,QID29_1,QID29_2,QID29_3,QID30_1,QID30_2,QID30_3,QID31_1,QID31_2,QID31_3,QID32_1,QID32_2,QID32_3,QID33,QID34,QID35_1,QID35_2,QID35_3,QID36_1,QID36_2,QID36_3,QID37_1,QID37_2,QID37_3,QID38_1,QID38_2,QID38_3,QID39_1,QID39_2,QID39_3,QID40_1,QID40_2,QID40_3,QID41_1,QID41_2,QID41_3,QID42_1,QID42_2,QID42_3,QID43_1,QID43_2,QID43_3,QID44_1,QID44_2,QID44_3,QID45_1,QID45_2,QID45_3,QID46,QID47,QID48_1,QID48_2,QID48_3,QID49_1,QID49_2,QID49_3,QID50_1,QID50_2,QID50_3,QID51_1,QID51_2,QID51_3,QID52_1,QID52_2,QID52_3,QID53_1,QID53_2,QID53_3,QID54_1,QID54_2,QID54_3,QID55_1,QID55_2,QID55_3,QID56_1,QID56_2,QID56_3,QID57,QID58,QID59_1,QID59_2,QID59_3,QID60_1,QID60_2,QID60_3,QID61_1,QID61_2,QID61_3,QID62_1,QID62_2,QID62_3,QID63_1,QID63_2,QID63_3,QID64_1,QID64_2,QID64_3,QID65,QID66,QID67_1,QID67_2,QID67_3,QID68_1,QID68_2,QID68_3,QID69_1,QID69_2,QID69_3,QID70_1,QID70_2,QID70_3,QID71_1,QID71_2,QID71_3,QID72_1,QID72_2,QID72_3,QID73,QID74,QID75_1,QID75_2,QID75_3,QID76_1,QID76_2,QID76_3,QID77_1,QID77_2,QID77_3,QID78_1,QID78_2,QID78_3,QID79_1,QID79_2,QID79_3,QID80_1,QID80_2,QID80_3,QID81_1,QID81_2,QID81_3,QID82_1,QID82_2,QID82_3,QID83_1,QID83_2,QID83_3,QID84_1,QID84_2,QID84_3,QID85_1,QID85_2,QID85_3,QID86_1,QID86_2,QID86_3,QID87_1,QID87_2,QID87_3,QID88_1,QID88_2,QID88_3,QID89_1,QID89_2,QID89_3,QID90,QID91
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Read the dialogue context below:



User: Yes I am looking for an expensive restaurant in the South of town. 



Database Result: 

Count: 5


{'address': '82 Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'chinese', 'id': '19192', 'name': 'the good luck chinese food takeaway', 'phone': '01223244149', 'postcode': 'cb17ag', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000003'}
{'address': '64 Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'indian', 'id': '19191', 'name': 'taj tandoori', 'phone': '01223412299', 'postcode': 'cb17aa', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000005'}
{'address': '2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'mexican', 'id': '19194', 'name': 'chiquito restaurant bar', 'phone': '01223400170', 'postcode': 'cb17dy', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000021'}
{'address': '10 Homerton Street City Centre', 'area': 'south', 'food': 'chinese', 'id': '19246', 'name': 'peking restaurant', 'phone': '01223354755', 'postcode': 'cb28nx', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000079'}
{'address': 'Cambridge Leisure Park Clifton Way Cherry Hinton', 'area': 'south', 'food': 'italian', 'id': '19195', 'name': 'frankie and bennys', 'phone': '01223412430', 'postcode': 'cb17dy', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000080'}
 



Agent: There are 5 expensive restaurants in the south. Do you have a preference for the type of food?






Rate the Conversation Consistency, Backend Knowledge Consistency, and Policy Compliance from 1 to 5 for the above response. - Conversation Consistency","Read the dialogue context below:



User: Yes I am looking for an expensive restaurant in the South of town. 



Database Result: 

Count: 5


{'address': '82 Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'chinese', 'id': '19192', 'name': 'the good luck chinese food takeaway', 'phone': '01223244149', 'postcode': 'cb17ag', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000003'}
{'address': '64 Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'indian', 'id': '19191', 'name': 'taj tandoori', 'phone': '01223412299', 'postcode': 'cb17aa', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000005'}
{'address': '2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton', 'area': 'south', 'food': 'mexican', 'id': '19194', 'name': 'chiquito restaurant bar', 'phone': '01223400170', 'postcode': 'cb17dy', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000021'}
{'address': '10 Homerton Street City Centre', 'area': 'south', 'food': 'chinese', 'id': '19246', 'name': 'peking restaurant', 'phone': '01223354755', 'postcode': 'cb28nx', 'pricerange': 'expensive', 'type': 'restaurant', 'ref': '00000079'}
